-| Aici este salvata activitatea fiecarui admin. |-
 
 
| 09:02:16 |- Harta: deathrun_helvis|- TimeLeft: 4:18| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_votemapmenu ' 
| 19:39:13 |- Harta: deathrun_pyramid|- TimeLeft: 1:57| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_votemapmenu ' 
| 19:41:12 |- Harta: deathrun_pyramid|- TimeLeft: 0:00| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_gag scooby 3' 
| 19:54:34 |- Harta: deathrun_laikiux_voxim- TimeLeft: 12:44| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_slay nik' 
| 20:02:21 |- Harta: deathrun_laikiux_voxim- TimeLeft: 4:56| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_votemapmenu ' 
| 20:02:56 |- Harta: deathrun_laikiux_voxim- TimeLeft: 4:21| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_votemapmenu ' 
| 20:13:51 |- Harta: deathrun_workshop_b1|- TimeLeft: 19:34| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_teleportmenu ' 
| 20:19:55 |- Harta: deathrun_workshop_b1|- TimeLeft: 13:29| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_slay kil' 
| 20:19:59 |- Harta: deathrun_workshop_b1|- TimeLeft: 13:25| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_slay bolt' 
| 20:23:17 |- Harta: deathrun_workshop_b1|- TimeLeft: 10:08| Sol [ STEAM_0:0:154268340 | 79.118.25.84 ] 'amx_psay zale e strong ' 
| 20:26:24 |- Harta: deathrun_workshop_b1|- TimeLeft: 7:02| Sol [ STEAM_0:0:154268340 | 79.118.25.84 ] 'amx_slay bisc' 
| 20:26:26 |- Harta: deathrun_workshop_b1|- TimeLeft: 7:00| Sol [ STEAM_0:0:154268340 | 79.118.25.84 ] 'amx_slay covi' 
| 20:31:39 |- Harta: deathrun_workshop_b1|- TimeLeft: 1:47| Sol [ STEAM_0:0:154268340 | 79.118.25.84 ] 'amx_votemap deathrun_aztecan_beta1 deathrun_trap_canyon' 
| 20:47:07 |- Harta: deathrun_trap_canyon|- TimeLeft: 12:37| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_slay gaby' 
| 20:55:54 |- Harta: deathrun_trap_canyon|- TimeLeft: 3:50| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_votemapmenu ' 
| 20:56:12 |- Harta: deathrun_trap_canyon|- TimeLeft: 3:31| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu. desi numai am timp si am luat down din cauza inactivitatii.. ' 
| 20:56:44 |- Harta: deathrun_trap_canyon|- TimeLeft: 3:00| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say am zis sa nu fac retragere.. poate mai am timp si nu pierd adminul' 
| 20:56:50 |- Harta: deathrun_trap_canyon|- TimeLeft: 2:54| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_votemapmenu ' 
| 20:56:53 |- Harta: deathrun_trap_canyon|- TimeLeft: 2:50| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say pai nu am de ce sa fac' 
| 20:57:06 |- Harta: deathrun_trap_canyon|- TimeLeft: 2:37| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say in iarna acum deloc nu o sa mai intru' 
| 20:57:33 |- Harta: deathrun_trap_canyon|- TimeLeft: 2:11| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say cat implinesti?' 
| 20:58:01 |- Harta: deathrun_trap_canyon|- TimeLeft: 1:43| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say multi inainte.. fa record !' 
| 20:58:13 |- Harta: deathrun_trap_canyon|- TimeLeft: 1:31| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_slay floy' 
| 20:58:38 |- Harta: deathrun_trap_canyon|- TimeLeft: 1:05| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say Salut Vali' 
| 20:59:10 |- Harta: deathrun_trap_canyon|- TimeLeft: 0:34| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu merge a-ul si folosesc consola.. copy/paste la a' 
| 21:00:39 |- Harta: deathrun_trap_canyon|- TimeLeft: 0:00| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_slay floy' 
| 21:01:21 |- Harta: deathrun_trap_canyon|- TimeLeft: 0:00| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_slap dez' 
| 21:01:23 |- Harta: deathrun_trap_canyon|- TimeLeft: 0:00| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_slay dez' 
| 21:02:07 |- Harta: deathrun_blabla_final|- TimeLeft: 24:56| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say capcana aia pana treci de ea dureaza 1/2 minute..' 
| 21:02:27 |- Harta: deathrun_blabla_final|- TimeLeft: 24:36| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say dar si tu ai fi facut la fel' 
| 21:03:09 |- Harta: deathrun_blabla_final|- TimeLeft: 23:54| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say sa folosesc doar say nu merge' 
| 21:03:19 |- Harta: deathrun_blabla_final|- TimeLeft: 23:44| Floy [ STEAM_0:0:288764745 | 86.121.37.122 ] 'amx_say K' 
| 21:03:34 |- Harta: deathrun_blabla_final|- TimeLeft: 23:28| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say e plugin si nu pot trimite mesaje * chat y * prin intermediul consolei' 
| 21:03:48 |- Harta: deathrun_blabla_final|- TimeLeft: 23:15| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu merge..' 
| 21:04:14 |- Harta: deathrun_blabla_final|- TimeLeft: 22:49| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say ca sa bag tag trebuie sa scriu pe y !settag si nu-mi merge a-ul' 
| 21:04:47 |- Harta: deathrun_blabla_final|- TimeLeft: 22:16| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu-mi mai merge' 
| 21:05:54 |- Harta: deathrun_blabla_final|- TimeLeft: 21:08| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say dupa ce ca nu-mi merge a-ul si am schimbat tastele mai am si drop fps' 
| 21:06:00 |- Harta: deathrun_blabla_final|- TimeLeft: 21:03| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say scade urat de to' 
| 21:20:52 |- Harta: deathrun_blabla_final|- TimeLeft: 6:11| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu am jucat-o pana acum si am drop fps.. joc cam greu' 
| 21:21:30 |- Harta: deathrun_blabla_final|- TimeLeft: 5:33| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say foarte bine.. ' 
| 21:23:51 |- Harta: deathrun_blabla_final|- TimeLeft: 3:12| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_votemapmenu ' 
| 21:28:17 |- Harta: deathrun_blabla_final|- TimeLeft: 0:00| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vali' 
| 21:28:27 |- Harta: deathrun_blabla_final|- TimeLeft: 0:00| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say cu drop fps si intrerupt la scara' 
| 21:28:37 |- Harta: deathrun_blabla_final|- TimeLeft: 0:00| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say merge un 1.08' 
| 21:31:50 |- Harta: deathrun_unreal|- TimeLeft: 22:31| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say folosesc E6 de un an si ceva.. de vreo 2 saptamani am drop urat.. e de la cs ?' 
| 21:37:48 |- Harta: deathrun_unreal|- TimeLeft: 16:33| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say ca de obicei' 
| 21:49:27 |- Harta: deathrun_unreal|- TimeLeft: 4:53| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_votemapmenu ' 
| 21:49:39 |- Harta: deathrun_unreal|- TimeLeft: 4:42| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_votemapmenu ' 
| 21:49:44 |- Harta: deathrun_unreal|- TimeLeft: 4:37| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_votemapmenu ' 
| 21:57:25 |- Harta: deathrun_projetocs2|- TimeLeft: 22:39| valiiiii ;x [ VALVE_0:4:1316845534 | 5.13.166.53 ] 'amx_teleportmenu ' 
| 22:11:16 |- Harta: deathrun_projetocs2|- TimeLeft: 8:49| Bidi [ STEAM_0:1:45864800 | 93.118.223.39 ] 'amx_teleportmenu ' 
| 22:15:57 |- Harta: deathrun_projetocs2|- TimeLeft: 4:07| Bidi [ STEAM_0:1:45864800 | 93.118.223.39 ] 'amx_votemapmenu ' 
| 22:42:11 |- Harta: deathrun_bhopz_v2|- TimeLeft: 4:02| тяysz [ STEAM_0:0:151659743 | 89.120.5.180 ] 'amx_votemapmenu ' 
| 22:48:37 |- Harta: deathrun_glasslight_me- TimeLeft: 22:44| тяysz [ STEAM_0:0:151659743 | 89.120.5.180 ] 'amx_kick ufo' 
| 22:48:41 |- Harta: deathrun_glasslight_me- TimeLeft: 22:40| тяysz [ STEAM_0:0:151659743 | 89.120.5.180 ] 'amx_slay ufo' 
| 23:17:13 |- Harta: deathrun_hell1337_fina- TimeLeft: 2:31| trickz- [ STEAM_0:0:449269657 | 109.166.131.206 ] 'amx_Votemapmenu ' 
| 23:39:44 |- Harta: deathrun_xen_world_b5|- TimeLeft: 5:34| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_gag leg' 
| 23:40:54 |- Harta: deathrun_xen_world_b5|- TimeLeft: 4:24| trickz- [ STEAM_0:0:449269657 | 109.166.131.206 ] 'amx_votempamenu ' 
| 23:40:59 |- Harta: deathrun_xen_world_b5|- TimeLeft: 4:19| trickz- [ STEAM_0:0:449269657 | 109.166.131.206 ] 'amx_vitemapmenu ' 
| 23:41:03 |- Harta: deathrun_xen_world_b5|- TimeLeft: 4:14| trickz- [ STEAM_0:0:449269657 | 109.166.131.206 ] 'amx_votemapmenu ' 
| 23:46:48 |- Harta: deathrun_xen_world_b5|- TimeLeft: 0:00| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say deschizi consola si statusu la server ... scrii say si ip-ul' 
| 23:48:16 |- Harta: deathrun_expres-game|- TimeLeft: 24:15| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say daca am nvidia si joc scroll on pot intra ? ' 
| 23:50:24 |- Harta: deathrun_expres-game|- TimeLeft: 22:07| trickz- [ STEAM_0:0:449269657 | 109.166.131.206 ] 'amx_psay legends 193.192.59.62:27065' 
| 23:50:24 |- Harta: deathrun_expres-game|- TimeLeft: 22:07| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say am nvidia E6 si am autobhop..' 
| 00:10:39 |- Harta: deathrun_expres-game|- TimeLeft: 1:52| тяysz [ STEAM_0:0:151659743 | 89.120.5.180 ] 'amx_votemapmenu ' 
