-| Aici este salvata activitatea fiecarui admin. |-
 
 
| 09:02:46 |- Harta: deathrun_minecraft_fin- TimeLeft: 21:30| LoV3 [ STEAM_0:0:137776089 | 109.102.38.10 ] 'amx_slay zale' 
| 14:31:59 |- Harta: deathrun_bhopz_v2|- TimeLeft: 8:02| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slap king' 
| 14:32:03 |- Harta: deathrun_bhopz_v2|- TimeLeft: 7:57| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_revive ' 
| 14:32:06 |- Harta: deathrun_bhopz_v2|- TimeLeft: 7:55| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_revive king' 
| 14:37:30 |- Harta: deathrun_bhopz_v2|- TimeLeft: 21:07| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slay cash' 
| 14:37:33 |- Harta: deathrun_bhopz_v2|- TimeLeft: 21:05| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slay ca$' 
| 14:38:36 |- Harta: deathrun_bhopz_v2|- TimeLeft: 20:01| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slay ' 
| 14:41:31 |- Harta: deathrun_bhopz_v2|- TimeLeft: 17:06| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_matacke ' 
| 14:41:35 |- Harta: deathrun_bhopz_v2|- TimeLeft: 17:02| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_maket ' 
| 14:41:45 |- Harta: deathrun_bhopz_v2|- TimeLeft: 16:52| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_slay maket' 
| 14:43:02 |- Harta: deathrun_bhopz_v2|- TimeLeft: 15:36| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick meta gura' 
| 14:43:08 |- Harta: deathrun_bhopz_v2|- TimeLeft: 15:30| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make gura' 
| 14:46:20 |- Harta: deathrun_bhopz_v2|- TimeLeft: 12:18| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_gag meta' 
| 14:46:23 |- Harta: deathrun_bhopz_v2|- TimeLeft: 12:14| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_gag make' 
| 14:46:27 |- Harta: deathrun_bhopz_v2|- TimeLeft: 12:11| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make' 
| 14:47:47 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:51| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_psay make prea copil esti.' 
| 14:47:58 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:39| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make ' 
| 14:47:58 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:39| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make ' 
| 14:47:58 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:39| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make ' 
| 14:47:59 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:39| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make ' 
| 14:47:59 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:39| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make ' 
| 14:47:59 |- Harta: deathrun_bhopz_v2|- TimeLeft: 10:39| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make ' 
| 14:49:42 |- Harta: deathrun_bhopz_v2|- TimeLeft: 8:55| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick bmx' 
| 14:52:54 |- Harta: deathrun_bhopz_v2|- TimeLeft: 5:44| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make' 
| 14:52:59 |- Harta: deathrun_bhopz_v2|- TimeLeft: 25:02| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make ' 
| 14:53:03 |- Harta: deathrun_bhopz_v2|- TimeLeft: 24:57| KingKong [ VALVE_0:4:1501446250 | 109.98.160.27 ] 'amx_kick make ' 
| 16:37:40 |- Harta: deathrun_army_blue_bet- TimeLeft: 19:12| νόςί [ STEAM_0:1:120471225 | 188.24.210.214 ] 'amx_clan ' 
| 16:37:42 |- Harta: deathrun_army_blue_bet- TimeLeft: 19:09| νόςί [ STEAM_0:1:120471225 | 188.24.210.214 ] 'amx_clans ' 
| 16:52:52 |- Harta: deathrun_army_blue_bet- TimeLeft: 3:59| Sol [ STEAM_0:0:154268340 | 188.27.152.16 ] 'amx_votemapmenu ' 
| 16:52:59 |- Harta: deathrun_army_blue_bet- TimeLeft: 3:52| Sol [ STEAM_0:0:154268340 | 188.27.152.16 ] 'amx_votemapmenu ' 
| 17:54:57 |- Harta: deathrun_laikiux7|- TimeLeft: 19:02| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_gag hab 3' 
| 18:01:48 |- Harta: deathrun_laikiux7|- TimeLeft: 12:11| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_teleportmenu ' 
| 18:04:09 |- Harta: deathrun_laikiux7|- TimeLeft: 9:50| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_teleportmenu ' 
| 18:05:55 |- Harta: deathrun_laikiux7|- TimeLeft: 8:04| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_teleportmenu ' 
| 18:07:34 |- Harta: deathrun_laikiux7|- TimeLeft: 6:24| kolo1 [ VALVE_0:4:662946282 | 109.97.91.230 ] 'amx_slay nyku ' 
| 18:08:59 |- Harta: deathrun_laikiux7|- TimeLeft: 5:00| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_votemapmenu ' 
| 18:09:29 |- Harta: deathrun_laikiux7|- TimeLeft: 4:30| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_gag kebu' 
| 18:09:41 |- Harta: deathrun_laikiux7|- TimeLeft: 4:18| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_votemapmenu ' 
| 18:22:30 |- Harta: deathrun_nwk_vault|- TimeLeft: 18:04| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_teleportmenu ' 
| 18:34:43 |- Harta: deathrun_nwk_vault|- TimeLeft: 5:52| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_votemapmenu ' 
| 19:02:40 |- Harta: deathrun_unreal_play|- TimeLeft: 4:12| Sol [ STEAM_0:0:154268340 | 188.27.152.16 ] 'amx_votemapmenu ' 
| 19:05:20 |- Harta: deathrun_unreal_play|- TimeLeft: 1:32| Sol [ STEAM_0:0:154268340 | 188.27.152.16 ] 'amx_slay stifl' 
| 19:05:22 |- Harta: deathrun_unreal_play|- TimeLeft: 1:30| Sol [ STEAM_0:0:154268340 | 188.27.152.16 ] 'amx_slay sniper' 
| 19:10:27 |- Harta: deathrun_sentinel|- TimeLeft: 21:54| kolo1 [ VALVE_0:4:662946282 | 109.97.91.230 ] 'amx_slap extreme 1' 
| 19:10:45 |- Harta: deathrun_sentinel|- TimeLeft: 21:37| kolo1 [ VALVE_0:4:662946282 | 109.97.91.230 ] 'amx_slap [vlk]' 
| 19:21:07 |- Harta: deathrun_sentinel|- TimeLeft: 11:15| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_who ' 
| 19:24:15 |- Harta: deathrun_sentinel|- TimeLeft: 8:06| cool [ VALVE_0:4:1209857630 | 5.14.101.57 ] 'amx_who ' 
| 19:30:53 |- Harta: deathrun_sentinel|- TimeLeft: 1:29| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_votemapmenu ' 
| 19:43:36 |- Harta: deathrun_nature2|- TimeLeft: 14:28| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_slay dez' 
| 19:44:24 |- Harta: deathrun_nature2|- TimeLeft: 13:40| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_slay sc' 
| 19:53:46 |- Harta: deathrun_nature2|- TimeLeft: 4:18| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_votemap deathrun_lies_f deathrun_aventure' 
| 19:57:11 |- Harta: deathrun_nature2|- TimeLeft: 0:53| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_slay ' 
| 19:57:16 |- Harta: deathrun_nature2|- TimeLeft: 0:48| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_slay th' 
| 19:57:22 |- Harta: deathrun_nature2|- TimeLeft: 0:42| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_slay thun' 
| 19:57:28 |- Harta: deathrun_nature2|- TimeLeft: 0:36| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_slay kolo' 
| 20:01:04 |- Harta: deathrun_nature2|- TimeLeft: 0:00| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_teleportmenu ' 
| 20:07:16 |- Harta: deathrun_aventure|- TimeLeft: 19:17| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_teleportmenu ' 
| 20:20:02 |- Harta: deathrun_aventure|- TimeLeft: 6:31| valiiiii ;x [ VALVE_0:4:1112766430 | 5.13.250.45 ] 'amx_votemapmenu ' 
| 21:07:24 |- Harta: deathrun_death|- TimeLeft: 10:19| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say are campanie ma.' 
| 21:11:23 |- Harta: deathrun_death|- TimeLeft: 6:21| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say ti-am dat cateva hs-uri ' 
| 21:11:54 |- Harta: deathrun_death|- TimeLeft: 5:50| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu-mi merge a-ul si folosesc consola ( copy-paste )' 
| 21:12:46 |- Harta: deathrun_death|- TimeLeft: 4:58| valiiiii ;x [ VALVE_0:4:644577246 | 5.13.138.229 ] 'amx_votemapmenu ' 
| 21:13:29 |- Harta: deathrun_death|- TimeLeft: 4:15| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say sper sa am timp de record' 
| 21:13:52 |- Harta: deathrun_death|- TimeLeft: 3:52| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say next 2' 
| 21:22:13 |- Harta: deathrun_jinglebells|- TimeLeft: 21:42| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say wkn' 
| 21:22:32 |- Harta: deathrun_jinglebells|- TimeLeft: 21:24| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say ar fi vreo 3 lucruri ce putem face ' 
| 21:23:17 |- Harta: deathrun_jinglebells|- TimeLeft: 20:39| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say 1. war / 2. daca avem pe cineva ce stie sa editeze ( sony vegas ) am face un video' 
| 21:23:30 |- Harta: deathrun_jinglebells|- TimeLeft: 20:26| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say 3. pentru sl concurs' 
| 21:23:44 |- Harta: deathrun_jinglebells|- TimeLeft: 20:12| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu avem pe nimeni cu youtube-ul' 
| 21:23:56 |- Harta: deathrun_jinglebells|- TimeLeft: 19:59| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say sl - second leader' 
| 21:25:50 |- Harta: deathrun_jinglebells|- TimeLeft: 18:06| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say pe forum nu ai acces, dar poti da probe' 
| 21:26:34 |- Harta: deathrun_jinglebells|- TimeLeft: 17:22| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say fac cerere inscriere, dau proba cu tine, verdictu la cl' 
| 21:28:50 |- Harta: deathrun_jinglebells|- TimeLeft: 15:06| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say am o problema cu sbj-ul momentan.. =))' 
| 21:33:59 |- Harta: deathrun_jinglebells|- TimeLeft: 9:57| valiiiii ;x [ VALVE_0:4:644577246 | 5.13.138.229 ] 'amx_slay sc' 
| 21:36:02 |- Harta: deathrun_jinglebells|- TimeLeft: 7:53| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vali' 
| 21:36:07 |- Harta: deathrun_jinglebells|- TimeLeft: 7:49| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vi pe war ?' 
| 21:36:14 |- Harta: deathrun_jinglebells|- TimeLeft: 7:42| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vi pe war ? ' 
| 21:36:24 |- Harta: deathrun_jinglebells|- TimeLeft: 7:32| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vi pe war.. mai avem nevoie' 
| 21:36:40 |- Harta: deathrun_jinglebells|- TimeLeft: 7:16| valiiiii ;x [ VALVE_0:4:644577246 | 5.13.138.229 ] 'amx_ ' 
| 21:36:41 |- Harta: deathrun_jinglebells|- TimeLeft: 7:15| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say war fio' 
| 21:58:33 |- Harta: deathrun_jinglebells|- TimeLeft: 17:21| Capi [ VALVE_0:4:1898960755 | 95.76.3.75 ] 'amx_slay mar' 
| 23:06:35 |- Harta: deathrun_death_hard|- TimeLeft: 8:25| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say merge intrerupt =))' 
| 23:08:23 |- Harta: deathrun_death_hard|- TimeLeft: 6:37| valiiiii ;x [ VALVE_0:4:644577246 | 5.13.138.229 ] 'amx_votemapmenu ' 
| 23:08:40 |- Harta: deathrun_death_hard|- TimeLeft: 6:20| valiiiii ;x [ VALVE_0:4:644577246 | 5.13.138.229 ] 'amx_votemap deathrun_fixxor deathrun_hertz' 
| 23:10:20 |- Harta: deathrun_death_hard|- TimeLeft: 4:40| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_slay ext' 
| 23:12:29 |- Harta: deathrun_death_hard|- TimeLeft: 2:31| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say valli and me' 
| 23:24:06 |- Harta: deathrun_fixxor|- TimeLeft: 16:31| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vali' 
| 23:24:21 |- Harta: deathrun_fixxor|- TimeLeft: 16:15| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vali' 
| 23:24:29 |- Harta: deathrun_fixxor|- TimeLeft: 16:07| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say kaka ' 
| 23:24:43 |- Harta: deathrun_fixxor|- TimeLeft: 15:53| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say stii cum se face la final ?.. la teleporturile alea' 
| 23:25:14 |- Harta: deathrun_fixxor|- TimeLeft: 15:23| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vali ' 
| 23:26:42 |- Harta: deathrun_fixxor|- TimeLeft: 13:54| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vali ' 
| 23:26:46 |- Harta: deathrun_fixxor|- TimeLeft: 13:50| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vali ' 
| 23:26:48 |- Harta: deathrun_fixxor|- TimeLeft: 13:48| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say stii cum se face la final ?.. la teleporturile alea ' 
| 23:27:16 |- Harta: deathrun_fixxor|- TimeLeft: 13:20| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say si la lasere tu cand apesi duck ?' 
| 23:27:32 |- Harta: deathrun_fixxor|- TimeLeft: 13:04| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say cand' 
| 23:30:11 |- Harta: deathrun_fixxor|- TimeLeft: 10:26| valiiiii ;x [ VALVE_0:4:644577246 | 5.13.138.229 ] 'amx_slay rw' 
| 23:30:19 |- Harta: deathrun_fixxor|- TimeLeft: 10:17| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say si il prinsesem bine' 
| 23:34:14 |- Harta: deathrun_fixxor|- TimeLeft: 6:22| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say 1. e laptop / 2. abia ce am luat masina si intru in scoala.. nu am timp..' 
| 23:34:26 |- Harta: deathrun_fixxor|- TimeLeft: 6:10| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say si nici nu vreau sa cheltui banii pe alt laptop' 
| 23:34:32 |- Harta: deathrun_fixxor|- TimeLeft: 6:05| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu acum' 
| 23:35:03 |- Harta: deathrun_fixxor|- TimeLeft: 5:33| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say iti fac poza cu masina?' 
| 23:36:25 |- Harta: deathrun_fixxor|- TimeLeft: 4:11| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vali' 
| 23:36:35 |- Harta: deathrun_fixxor|- TimeLeft: 4:01| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say ai zis ca esti 0 la war ca adyy ?' 
| 23:37:05 |- Harta: deathrun_fixxor|- TimeLeft: 3:32| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say cand anca e pe server zale e prezent si el..' 
| 23:37:23 |- Harta: deathrun_fixxor|- TimeLeft: 3:13| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say anca' 
| 23:37:35 |- Harta: deathrun_fixxor|- TimeLeft: 3:01| valiiiii ;x [ VALVE_0:4:644577246 | 5.13.138.229 ] 'amx_votemapmenu ' 
| 23:37:35 |- Harta: deathrun_fixxor|- TimeLeft: 3:01| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu te intrebi de ce vorbesc prin say nu ?' 
| 23:38:57 |- Harta: deathrun_fixxor|- TimeLeft: 1:39| anca [ STEAM_0:0:58514266 | 92.81.42.31 ] 'amx_votemapmenu ' 
| 23:41:36 |- Harta: deathrun_fixxor|- TimeLeft: 0:00| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say tocmai ce am invatat-0o' 
| 23:42:11 |- Harta: deathrun_fixxor|- TimeLeft: 0:00| valiiiii ;x [ VALVE_0:4:644577246 | 5.13.138.229 ] 'amx_teleportmenu ' 
| 23:43:41 |- Harta: deathrun_glasslight_me- TimeLeft: 23:57| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say anca' 
| 23:43:46 |- Harta: deathrun_glasslight_me- TimeLeft: 23:51| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say e buguita asta' 
| 23:44:10 |- Harta: deathrun_glasslight_me- TimeLeft: 23:27| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say anca ' 
| 23:44:37 |- Harta: deathrun_glasslight_me- TimeLeft: 23:00| anca [ STEAM_0:0:58514266 | 92.81.42.31 ] 'amx_votemapmenu ' 
| 23:45:07 |- Harta: deathrun_glasslight_me- TimeLeft: 22:31| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say e si hard ?' 
| 23:45:24 |- Harta: deathrun_glasslight_me- TimeLeft: 22:14| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say anca' 
| 23:45:35 |- Harta: deathrun_glasslight_me- TimeLeft: 22:03| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say stiu ca numai merge.. nici nu voiam' 
| 23:47:09 |- Harta: deathrun_glasslight_me- TimeLeft: 20:29| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say anca ' 
| 23:50:33 |- Harta: deathrun_glasslight_me- TimeLeft: 17:04| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say anca a batut pe toata lumea' 
| 23:51:22 |- Harta: deathrun_glasslight_me- TimeLeft: 16:16| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say stai ca poate mergem pe war' 
| 23:51:39 |- Harta: deathrun_glasslight_me- TimeLeft: 15:59| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say vali mai intri ?' 
| 23:51:39 |- Harta: deathrun_glasslight_me- TimeLeft: 15:58| trickz- [ STEAM_0:0:701643586 | 109.166.139.4 ] 'amx_psay joker, da cine are admin?' 
| 23:51:52 |- Harta: deathrun_glasslight_me- TimeLeft: 15:45| Joker$* [ VALVE_0:4:1668405362 | 92.82.191.111 ] 'amx_say nu am' 
